GameDataRecords from User Named:Nikita
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Success_CollGreen,500.0,38.823784,1.093544,0.0
1,E_Failure_CollRed,500.0,38.823784,1.093544,0.0
1,E_Success_CollGreen,500.0,38.823784,1.093544,0.0
1,E_Success_CollGreen,500.0,38.823784,1.093544,0.0
1,E_Failure_CollRed,500.0,39.917328,1.094215,0.0
1,E_Success_CollGreen,500.0,39.917328,1.094215,0.0
1,E_Success_CollGreen,500.0,39.917328,1.094215,0.0
1,E_Success_CollGreen,500.0,39.917328,1.094215,0.0
1,E_Success_InterCeptRed,500.0,41.011543,0.464546,0.0
1,E_Success_CollGreen,500.0,41.011543,1.094193,0.0
1,E_Success_CollGreen,500.0,41.011543,1.094193,0.0
1,E_Success_CollGreen,500.0,41.011543,1.094193,0.0
1,E_Success_InterCeptRed,500.0,42.105736,0.387856,0.0
1,E_Success_CollGreen,500.0,41.476089,1.098557,0.0
1,E_Failure_CollRed,500.0,42.105736,1.096695,0.0
1,E_Success_CollGreen,500.0,42.105736,1.096695,0.0
1,E_Failure_InterCeptGreen,500.0,43.202431,0.207245,0.0
1,E_Success_CollGreen,500.0,42.493591,1.090034,0.0
1,E_Success_CollGreen,500.0,42.574646,1.094349,0.0
1,E_Failure_CollRed,500.0,43.202431,1.095474,0.0
1,E_Success_CollGreen,500.0,43.409676,1.09008,0.0
1,E_Failure_CollRed,500.0,43.583626,1.095093,0.75
1,E_Failure_CollRed,500.0,43.668995,1.094128,0.75
1,E_Success_CollGreen,500.0,44.297905,1.094849,0.7
1,E_Failure_InterCeptGreen,500.0,44.763123,0.719154,0.7
1,E_Failure_CollRed,500.0,44.499756,1.094578,0.7
1,E_Failure_InterCeptGreen,500.0,44.678719,1.011307,0.65
1,E_Failure_InterCeptGreen,500.0,45.594334,0.290333,0.6
1,E_Success_InterCeptRed,500.0,45.392754,0.642159,0.55
1,E_Failure_CollRed,500.0,45.482277,1.095432,0.55
1,E_Success_CollGreen,500.0,45.690025,1.089298,0.5
1,E_Failure_CollRed,500.0,45.884666,1.091671,0.5
1,E_Failure_CollRed,500.0,46.034912,1.091564,0.45
1,E_Failure_CollRed,500.0,46.577709,1.096779,0.4
1,E_Failure_CollRed,500.0,46.779324,1.095943,0.35
1,E_Failure_CollRed,500.0,46.976337,1.093643,0.35
1,E_Failure_CollRed,500.0,47.126476,1.094982,0.3
1,E_Failure_InterCeptGreen,500.0,47.674488,0.640305,0.3
1,E_Failure_InterCeptGreen,500.0,48.314793,0.586617,0.25
1,E_Failure_CollRed,500.0,47.875267,1.095684,0.2
1,E_Failure_CollRed,500.0,48.069981,1.094929,0.2
1,E_Failure_CollRed,500.0,48.221458,1.097675,0.15
1,E_Failure_InterCeptGreen,500.0,48.901409,0.789532,0.15
1,E_Failure_CollRed,500.0,48.970951,1.094406,0.15
1,E_Failure_CollRed,500.0,49.164909,1.094643,0.1
1,E_Failure_CollRed,500.0,49.319134,1.094158,0.1
1,E_Failure_InterCeptGreen,500.0,50.413292,0.221634,0.1
1,E_Failure_CollRed,500.0,49.690941,1.096882,0.1
1,E_Failure_InterCeptGreen,500.0,50.259552,0.569126,0.1
1,E_Success_CollGreen,500.0,50.065357,1.096233,0.05
1,E_Success_CollGreen,500.0,50.634926,1.093353,0.1
1,E_Failure_CollRed,500.0,50.787823,1.094917,0.1
1,E_Failure_CollRed,500.0,50.828678,1.091488,0.1
1,E_Success_CollGreen,500.0,51.161591,1.095367,0.1
1,E_Failure_InterCeptGreen,500.0,52.256958,0.237247,0.15
1,E_Failure_CollRed,500.0,51.728279,1.094135,0.15
1,E_Success_CollGreen,500.0,51.88274,1.094372,0.15
1,E_Failure_CollRed,500.0,51.920166,1.095078,0.2
1,E_Failure_CollRed,500.0,52.494205,1.090645,0.2
1,E_Failure_CollRed,500.0,52.822414,1.096939,0.2
1,E_Success_CollGreen,500.0,52.977112,1.093849,0.2
1,E_Failure_InterCeptGreen,500.0,54.070961,0.022163,0.25
1,E_Failure_CollRed,500.0,53.015244,1.093906,0.25
1,E_Failure_InterCeptGreen,500.0,54.093124,0.232468,0.25
1,E_Failure_InterCeptGreen,500.0,53.58485,1.00901,0.25
1,E_Failure_InterCeptGreen,500.0,54.10915,0.716412,0.25
1,E_Failure_InterCeptGreen,500.0,53.919353,1.038479,0.25
1,E_Failure_CollRed,500.0,54.325592,1.094067,0.25
1,E_Failure_CollRed,500.0,54.593861,1.093704,0.25
1,E_Failure_InterCeptGreen,500.0,55.419659,0.438873,0.25
1,E_Failure_CollRed,500.0,54.825562,1.089664,0.2
1,E_Failure_CollRed,500.0,54.957832,1.088261,0.15
1,E_Failure_InterCeptGreen,500.0,55.687565,0.507732,0.15
1,E_Failure_InterCeptGreen,500.0,55.858532,0.753605,0.15
1,E_Failure_CollRed,500.0,55.915226,1.097336,0.1
1,E_Failure_CollRed,500.0,56.046093,1.096806,0.1
1,E_Failure_CollRed,500.0,56.195297,1.08989,0.1
1,E_Failure_InterCeptGreen,500.0,57.012562,0.558342,0.05
1,E_Failure_CollRed,500.0,56.612137,1.095448,0.05
1,E_Failure_InterCeptGreen,500.0,57.285187,0.468941,0.05
1,E_Failure_CollRed,500.0,57.142899,1.09391,0.05
1,E_Failure_InterCeptGreen,500.0,57.707584,0.542419,0.0
1,E_Failure_CollRed,500.0,57.570904,1.09034,0.0
1,E_Failure_InterCeptGreen,500.0,58.236809,0.453018,0.0
1,E_Failure_CollRed,500.0,57.754128,1.091087,0.0
1,E_Failure_InterCeptGreen,500.0,58.250004,0.615677,0.0
1,E_Failure_CollRed,500.0,58.661243,1.095058,0.0
1,E_Failure_CollRed,500.0,58.689827,1.093246,0.0
1,E_Failure_CollRed,500.0,58.845215,1.096096,0.0
1,E_Failure_CollRed,500.0,58.865681,1.093872,0.0
1,E_Failure_InterCeptGreen,500.0,59.756302,0.542133,0.0
1,E_Failure_InterCeptGreen,500.0,59.783073,0.548439,0.0
1,E_Failure_InterCeptGreen,500.0,59.941311,0.463058,0.0
1,E_Failure_InterCeptGreen,500.0,60.404369,0.624554,0.0
1,E_Failure_CollRed,500.0,59.959553,1.094257,0.0
1,E_Failure_CollRed,500.0,60.298435,1.090103,0.0
1,E_Failure_CollRed,500.0,60.331512,1.09177,0.0
1,E_Failure_InterCeptGreen,500.0,61.05381,0.500568,0.0
1,E_Failure_CollRed,500.0,61.028923,1.091629,0.0
1,E_Failure_CollRed,500.0,61.388538,1.093491,0.0
1,E_Failure_CollRed,500.0,61.423283,1.094658,0.0
1,E_Failure_CollRed,500.0,61.554379,1.09531,0.0
1,E_Failure_InterCeptGreen,500.0,62.120552,0.619411,0.0
1,E_Failure_InterCeptGreen,500.0,62.482029,0.46508,0.0
1,E_Success_InterCeptRed,500.0,62.947109,0.358295,0.0
1,E_Failure_InterCeptGreen,500.0,62.739964,0.616657,0.05
1,E_Failure_CollRed,500.0,62.517941,1.094582,0.05
1,E_Failure_CollRed,500.0,62.649689,1.097122,0.05
1,E_Failure_InterCeptGreen,500.0,63.305405,0.521973,0.05
1,E_Success_InterCeptRed,500.0,63.827377,0.294258,0.05
1,E_Failure_InterCeptGreen,500.0,63.612522,0.557064,0.1
1,E_Failure_CollRed,500.0,63.356621,1.091019,0.1
1,E_Failure_InterCeptGreen,500.0,64.169586,0.553574,0.1
1,E_Failure_CollRed,500.0,63.746811,1.097054,0.1
1,E_Failure_InterCeptGreen,500.0,64.72316,0.488022,0.1
1,E_Failure_CollRed,500.0,64.121635,1.089546,0.1
1,E_Failure_InterCeptGreen,500.0,64.843864,0.655159,0.1
1,E_Failure_CollRed,500.0,64.447639,1.094345,0.1
1,E_Failure_InterCeptGreen,500.0,65.499023,0.567093,0.1
1,E_Failure_InterCeptGreen,500.0,65.541985,0.566025,0.1
1,E_Failure_CollRed,500.0,65.211182,1.09227,0.1
1,E_Failure_CollRed,500.0,65.211182,1.097214,0.1
1,E_Failure_InterCeptGreen,500.0,66.108009,0.464127,0.1
1,E_Failure_InterCeptGreen,500.0,66.066116,0.52227,0.1
1,E_Failure_InterCeptGreen,500.0,66.308395,0.749367,0.1
1,E_Failure_CollRed,500.0,66.303452,1.093689,0.05
1,E_Failure_InterCeptGreen,500.0,67.057762,0.552505,0.05
1,E_Failure_CollRed,500.0,66.572136,1.090172,0.05
1,E_Failure_CollRed,500.0,66.588387,1.094528,0.05
1,E_Failure_InterCeptGreen,500.0,67.397141,0.766899,0.05
1,E_Failure_InterCeptGreen,500.0,67.610268,0.80262,0.0
1,E_Failure_InterCeptGreen,500.0,68.16404,0.542526,0.0
1,E_Success_InterCeptRed,500.0,68.412888,0.318642,0.0
1,E_Failure_CollRed,500.0,67.662308,1.094536,0.05
1,E_Failure_CollRed,500.0,67.682915,1.093788,0.05
1,E_Success_InterCeptRed,500.0,68.776703,0.465561,0.05
1,E_Failure_InterCeptGreen,500.0,68.756844,0.528519,0.1
1,E_Failure_InterCeptGreen,500.0,68.731529,0.96814,0.1
1,E_Failure_CollRed,500.0,68.706566,1.088699,0.1
1,E_Failure_InterCeptGreen,500.0,69.242264,0.87162,0.1
1,E_Failure_CollRed,500.0,69.285362,1.089195,0.1
1,E_Failure_InterCeptGreen,500.0,69.699669,0.694008,0.1
1,E_Failure_CollRed,500.0,69.795265,1.095703,0.1
1,E_Failure_InterCeptGreen,500.0,70.374557,0.579384,0.1
1,E_Failure_InterCeptGreen,500.0,70.393677,0.568352,0.1
1,E_Failure_CollRed,500.0,70.113884,1.094833,0.1
1,E_Failure_InterCeptGreen,500.0,70.962029,0.491547,0.1
1,E_Failure_InterCeptGreen,500.0,70.890968,0.574707,0.1
1,E_Failure_InterCeptGreen,500.0,71.208717,0.323235,0.1
1,E_Failure_InterCeptGreen,500.0,70.953941,0.593956,0.1
1,E_Success_InterCeptRed,500.0,71.547897,0.608063,0.1
1,E_Failure_InterCeptGreen,500.0,71.531952,0.637932,0.15
1,E_Failure_CollRed,500.0,71.453575,1.092377,0.15
1,E_Failure_CollRed,500.0,71.465675,1.093468,0.1
1,E_Failure_CollRed,500.0,72.15596,1.092697,0.1
1,E_Failure_CollRed,500.0,72.169884,1.095688,0.1
1,E_Failure_CollRed,500.0,72.545952,1.097397,0.05
1,E_Failure_CollRed,500.0,72.559143,1.096741,0.05
1,E_Failure_InterCeptGreen,500.0,73.248657,0.546432,0.05
1,E_Failure_InterCeptGreen,500.0,73.643349,0.358025,0.05
1,E_Failure_InterCeptGreen,500.0,74.001373,0.216667,0.05
1,E_Failure_InterCeptGreen,500.0,73.655884,0.612053,0.05
1,E_Failure_CollRed,500.0,73.265572,1.09594,0.05
1,E_Failure_InterCeptGreen,500.0,73.79509,0.801315,0.05
1,E_Failure_InterCeptGreen,500.0,74.21804,0.786171,0.05
1,E_Failure_InterCeptGreen,500.0,74.596405,0.640083,0.05
1,E_Success_InterCeptRed,500.0,75.004211,0.320694,0.05
1,E_Failure_CollRed,500.0,74.267937,1.090515,0.1
1,E_Failure_CollRed,500.0,74.361511,1.097305,0.1
1,E_Failure_InterCeptGreen,500.0,75.358452,0.475876,0.1
1,E_Failure_InterCeptGreen,500.0,75.458817,0.576111,0.1
1,E_Failure_CollRed,500.0,75.236488,1.090538,0.05
1,E_Failure_CollRed,500.0,75.324905,1.092621,0.05
1,E_Failure_InterCeptGreen,500.0,75.834328,0.618248,0.05
1,E_Success_InterCeptRed,500.0,76.417526,0.232483,0.05
1,E_Success_InterCeptRed,500.0,76.327026,0.442688,0.1
1,E_Success_CollGreen,500.0,76.034927,1.094795,0.15
1,E_Success_InterCeptRed,500.0,77.129723,0.031609,0.2
1,E_Success_InterCeptRed,500.0,76.452576,0.942299,0.25
1,E_Failure_InterCeptGreen,500.0,76.650009,0.751755,0.3
1,E_Success_CollGreen,500.0,76.769714,1.091499,0.3
1,E_Success_CollGreen,500.0,77.161331,1.094254,0.35
1,E_Failure_CollRed,500.0,77.394875,1.090569,0.4
1,E_Success_CollGreen,500.0,77.401764,1.093918,0.4
1,E_Failure_InterCeptGreen,500.0,77.861214,0.694237,0.45
1,E_Success_InterCeptRed,500.0,78.495682,0.229141,0.45
1,E_Failure_InterCeptGreen,500.0,78.255585,0.70076,0.5
1,E_Failure_InterCeptGreen,500.0,78.55545,0.783585,0.45
1,E_Failure_InterCeptGreen,500.0,78.485443,1.03936,0.45
1,E_Failure_CollRed,500.0,78.724823,1.091301,0.45
1,E_Failure_CollRed,500.0,78.956345,1.093727,0.45
1,E_Failure_InterCeptGreen,500.0,79.524803,0.581314,0.45
1,E_Failure_CollRed,500.0,79.339035,1.092583,0.45
1,E_Failure_InterCeptGreen,500.0,80.106117,0.522095,0.45
1,E_Failure_CollRed,500.0,79.816124,1.094612,0.45
1,E_Failure_InterCeptGreen,500.0,80.431618,0.53286,0.4
1,E_Failure_CollRed,500.0,80.050072,1.094101,0.35
1,E_Failure_InterCeptGreen,500.0,80.910736,0.292107,0.3
1,E_Failure_InterCeptGreen,500.0,80.628212,0.885536,0.25
1,E_Failure_CollRed,500.0,80.964478,1.091698,0.2
1,E_Failure_CollRed,500.0,81.144173,1.097527,0.2
1,E_Success_CollGreen,500.0,81.202843,1.09214,0.15
1,E_Failure_CollRed,500.0,81.513748,1.089882,0.15
1,E_Failure_InterCeptGreen,500.0,82.056175,0.715904,0.15
1,E_Success_InterCeptRed,500.0,82.294983,0.500694,0.1
1,E_Failure_CollRed,500.0,82.241699,1.093658,0.15
1,E_Failure_InterCeptGreen,500.0,82.795677,0.543274,0.1
1,E_Failure_InterCeptGreen,500.0,82.772079,0.583328,0.1
1,E_Failure_CollRed,500.0,82.60363,1.095108,0.1
1,E_Failure_InterCeptGreen,500.0,83.355408,0.497108,0.1
1,E_Failure_InterCeptGreen,500.0,83.698738,0.641823,0.1
1,E_Failure_CollRed,500.0,83.335358,1.096809,0.1
1,E_Failure_CollRed,500.0,83.338951,1.093216,0.1
1,E_Failure_CollRed,500.0,83.852516,1.092323,0.1
1,E_Failure_InterCeptGreen,500.0,84.432167,0.521568,0.1
1,E_Failure_CollRed,500.0,84.340561,1.089409,0.1
1,E_Failure_InterCeptGreen,500.0,84.953735,0.508987,0.1
1,E_Failure_CollRed,500.0,84.432167,1.093781,0.1
1,E_Failure_CollRed,500.0,84.944839,1.093834,0.1
1,E_Failure_InterCeptGreen,500.0,85.525948,0.616913,0.1
1,E_Failure_CollRed,500.0,85.42997,1.096672,0.1
1,E_Success_CollGreen,500.0,85.462723,1.093567,0.1
1,E_Failure_InterCeptGreen,500.0,86.038673,0.605774,0.1
1,E_Failure_InterCeptGreen,500.0,86.55629,0.501015,0.1
1,E_Failure_InterCeptGreen,500.0,86.644447,0.580597,0.1
1,E_Failure_CollRed,500.0,86.14286,1.087517,0.05
1,E_Failure_InterCeptGreen,500.0,87.230377,0.045113,0.05
1,E_Failure_InterCeptGreen,500.0,86.526642,1.082687,0.05
1,E_Failure_InterCeptGreen,500.0,87.609329,0.490097,0.05
1,E_Failure_CollRed,500.0,87.057304,1.095222,0.05
1,E_Failure_CollRed,500.0,87.225044,1.089294,0.05
1,E_Failure_CollRed,500.0,87.27549,1.092361,0.05
1,E_Success_CollGreen,500.0,88.099426,1.09111,0.05
1,E_Failure_CollRed,500.0,88.152527,1.097412,0.1
1,E_Success_CollGreen,500.0,88.314339,1.094681,0.1
1,E_Failure_CollRed,500.0,88.367851,1.095924,0.15
1,E_Success_CollGreen,500.0,89.190536,1.095726,0.15
1,E_Failure_CollRed,500.0,89.249939,1.095535,0.2
1,E_Success_InterCeptRed,500.0,90.286263,0.10878,0.2
1,E_Failure_InterCeptGreen,500.0,89.463776,0.956039,0.25
1,E_Failure_InterCeptGreen,500.0,89.409019,1.052574,0.25
1,E_Failure_InterCeptGreen,500.0,90.461594,0.460938,0.25
1,E_Failure_InterCeptGreen,500.0,90.419815,0.90966,0.2
1,E_Failure_InterCeptGreen,500.0,90.395042,0.934433,0.2
1,E_Success_CollGreen,500.0,90.345474,1.095322,0.2
1,E_Failure_InterCeptGreen,500.0,90.922531,0.640938,0.25
1,E_Failure_InterCeptGreen,500.0,91.329475,0.800468,0.25
1,E_Failure_InterCeptGreen,500.0,91.329475,0.921379,0.25
1,E_Success_CollGreen,500.0,91.440796,1.096558,0.25
1,E_Failure_CollRed,500.0,91.563469,1.092163,0.3
1,E_Failure_InterCeptGreen,500.0,92.129944,0.672577,0.3
1,E_Failure_InterCeptGreen,500.0,92.655632,0.524704,0.3
1,E_Failure_CollRed,500.0,92.250854,1.091515,0.3
1,E_Success_InterCeptRed,500.0,93.342369,0.183426,0.25
1,E_Failure_CollRed,500.0,92.537354,1.093811,0.3
1,E_Failure_InterCeptGreen,500.0,92.802521,0.919182,0.25
1,E_Success_CollGreen,500.0,93.180336,1.092857,0.25
1,E_Failure_CollRed,500.0,93.525795,1.091858,0.25
1,E_Success_CollGreen,500.0,93.631165,1.107628,0.25
1,E_Failure_InterCeptGreen,500.0,94.273193,0.507164,0.25
1,E_Failure_CollRed,500.0,93.721703,1.091949,0.25
1,E_Failure_InterCeptGreen,500.0,94.780357,0.437614,0.25
1,E_Failure_InterCeptGreen,500.0,94.813652,0.90036,0.25
1,E_Failure_CollRed,500.0,94.617653,1.096359,0.25
1,E_Success_CollGreen,500.0,94.738792,1.095039,0.25
1,E_Failure_CollRed,500.0,95.217972,1.093079,0.25
1,E_Failure_InterCeptGreen,500.0,96.31105,0.180359,0.25
1,E_Failure_InterCeptGreen,500.0,95.714012,0.930191,0.25
1,E_Failure_CollRed,500.0,95.714012,1.095436,0.25
1,E_Success_CollGreen,500.0,95.833832,1.095894,0.2
1,E_Failure_InterCeptGreen,500.0,96.491409,0.633026,0.25
1,E_Failure_InterCeptGreen,500.0,97.124435,0.524834,0.25
1,E_Failure_CollRed,500.0,96.644203,1.090797,0.25
1,E_Failure_CollRed,500.0,96.809448,1.099998,0.25
1,E_Success_CollGreen,500.0,96.929726,1.096092,0.2
1,E_Success_InterCeptRed,500.0,97.649269,0.457413,0.25
1,E_Failure_InterCeptGreen,500.0,97.735001,0.787491,0.3
1,E_Success_InterCeptRed,500.0,98.106682,0.793961,0.25
1,E_Failure_CollRed,500.0,97.909447,1.093987,0.3
1,E_Success_CollGreen,500.0,98.025818,1.097328,0.25
1,E_Failure_CollRed,500.0,98.522491,1.090843,0.3
1,E_Failure_CollRed,500.0,98.900642,1.089401,0.3
1,E_Failure_CollRed,500.0,99.003433,1.09697,0.3
1,E_Failure_CollRed,500.0,99.123146,1.096046,0.3
1,E_Failure_InterCeptGreen,500.0,99.613335,0.639061,0.3
1,E_Failure_InterCeptGreen,500.0,100.100403,0.415131,0.25
1,E_Failure_InterCeptGreen,500.0,99.990044,0.886177,0.25
1,E_Success_CollGreen,500.0,100.219193,1.093689,0.25
1,E_Failure_CollRed,500.0,100.252396,1.093483,0.3
1,E_Failure_InterCeptGreen,500.0,100.876221,0.478806,0.3
1,E_Failure_CollRed,500.0,100.515533,1.091995,0.25
1,E_Failure_InterCeptGreen,500.0,101.607529,0.317451,0.25
